NTSBNumber,AccidentReport,AccidentDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,HighestInjuryLevel,AircraftNumber,DamageLevel,AircraftCategory,RegulationFlightConductedUnder,FlightScheduledType,FlightTerminalType,FlightServiceType,FlightOperationType,DefiningEvent,PhaseOfFlight,IntentionalAct
GAA19CA118,AccidentReport,2019-01-02,Appleton,Minnesota,United States,45.2275,-96.004447,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA124,AccidentReport,2019-01-02,Santa Maria Island,Florida,United States,27.5,-82.746665,,1,Serious,1,Substantial,Helicopter,Part 91: General aviation,,,,Aerial observation,Loss of Control In-Flight,Maneuvering,
WPR19LA054,AccidentReport,2019-01-02,Sacramento,California,United States,38.600833,-121.503334,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
WPR19LA055,AccidentReport,2019-01-02,Townsend,Montana,United States,46.289165,-111.519447,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Low Altitude Operation,Maneuvering,
ERA19LA085,AccidentReport,2019-01-03,Wilkes-Barre,Pennsylvania,United States,41,-75,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Fuel Related,Approach,
GAA19CA110,AccidentReport,2019-01-03,Grace,Idaho,United States,42.461944,-111.702224,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Personal,Low Altitude Operation,Maneuvering,
GAA19CA112,AccidentReport,2019-01-03,Prescott,Arizona,United States,34.653331,-112.419998,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA116,AccidentReport,2019-01-03,Edgewood,New Mexico,United States,35.094722,-106.164443,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA117,AccidentReport,2019-01-03,Longmont,Colorado,United States,40.164165,-105.163612,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA127,AccidentReport,2019-01-05,Casa Grande,Arizona,United States,32.954444,-111.765556,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
CEN19LA059,AccidentReport,2019-01-06,Flint,Michigan,United States,42.969165,-83.755279,0,0,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Non-power,Approach,
GAA19CA104,AccidentReport,2019-01-06,Bowling Green,Ohio,United States,41.391109,-83.630279,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
ERA19LA080,AccidentReport,2019-01-07,Soddy-Daisy,Tennessee,United States,35.328609,-85.055557,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
WPR19LA058,AccidentReport,2019-01-07,Colusa,California,United States,39.153057,-122.019996,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
